,0
712,1805.08776
713,1309.0894
714,1910.10100
715,1412.3978
716,1205.1203
717,1707.04254
718,1810.03031
719,2001.11775
720,1302.0366
721,1308.0389
722,1907.01678
723,1908.03996
724,1803.08805
725,1710.00904
726,2001.07311
727,1806.08887
728,1409.4127
729,1911.09126
730,1503.01804
731,1907.05350
732,1505.07892
733,1508.02079
734,0711.3235
735,1901.08106
736,1703.02344
737,1806.09908
738,1808.07102
739,1804.09483
740,1705.00825
741,2003.13853
742,2003.06898
743,1911.05205
744,1905.11151
745,1610.10056
746,1910.12157
747,1206.5674
748,2007.14646
749,1711.07733
750,1612.01474
751,1611.01838
752,1605.06069
753,1810.05102
754,1907.00664
755,1512.06974
756,1806.04642
757,1910.00572
758,1812.09570
759,1902.02422
760,1306.0940
761,1507.00509
762,1802.09750
763,2002.11770
764,1512.07831
765,1904.07092
766,1301.6588
767,1911.11632
768,1506.01060
769,1409.6359
770,1710.01840
771,1908.01478
772,1604.03413
773,1810.04351
774,1805.11529
775,1410.1090
776,1703.08383
777,1302.6556
778,1501.04466
779,1701.08471
780,1306.1723
781,1306.1157
782,1312.1918
783,1805.12174
784,1511.07710
785,1903.03669
786,1804.04340
787,1507.02744
788,1301.6277
789,1412.8363
790,1904.10904
791,1310.1799
792,1512.06238
793,1105.4175
794,1706.02807
795,1508.04261
796,1501.03383
797,1709.05832
798,1911.07318
799,1312.6282
800,1906.04355
801,1507.00087
802,1212.0079
803,1612.01041
804,1912.05124
805,1705.10528
806,1911.11856
807,2007.14641
808,2001.05952
809,2007.05120
810,2004.04912
811,1911.07543
812,1901.03427
813,1902.02311
814,1912.05128
815,1612.03103
816,0808.2794
817,1811.10816
818,1910.00930
819,1610.07569
820,1906.09576
821,1912.12090
822,1805.12542
823,1905.09402
824,1810.05570
825,2006.14827
826,1905.00262
827,1103.6161
828,1610.03524
829,1912.02047
830,1406.1335
831,1607.01848
832,1911.05788
833,1611.01796
834,2003.08736
835,1409.2919
836,1512.01173
837,1507.03044
838,0711.2490
839,1904.10235
840,1711.08833
841,1410.2505
842,2004.07352
843,2005.12229
844,1411.3315
845,1807.04616
846,1208.5589
847,1612.05491
848,2001.05320
849,1611.02730
850,1802.03151
851,0906.3227
852,1706.03818
853,1903.06493
854,2006.16331
855,1808.09401
856,1905.07817
857,2005.13522
858,1309.1737
859,1907.02053
860,1508.04819
861,1808.05859
862,1704.03069
863,1907.04286
864,2001.03758
865,2001.00927
866,1707.03045
867,1802.01316
868,1703.10697
869,1805.09557
870,1602.00165
871,1407.2889
872,1510.04029
873,1910.05268
874,1909.09483
875,1905.13467
876,1802.04310
877,1708.01348
878,1709.04491
879,1901.09109
880,2006.10254
881,1509.03870
882,1302.5062
883,1905.04689
884,1905.09027
885,1701.03641
886,2002.06235
887,1510.07308
888,1306.6269
889,2002.01872
890,1808.10867
891,1702.05073
892,1804.11013
893,2005.00147
894,2005.05719
895,2004.04933
896,1401.8132
897,1410.4978
898,1707.08744
899,1601.04012
900,0712.2643
901,1406.3225
902,2001.05036
903,1804.08986
904,1904.01321
905,1905.02448
906,1711.01357
907,1411.4734
908,1109.6494
909,1901.03677
910,1905.07362
911,1707.03967
912,1603.03713
913,1705.00782
914,1108.4257
915,1410.6629
916,1901.04641
917,1611.00291
918,1604.00461
919,1603.05349
920,1711.11427
921,1805.10672
922,1112.1271
923,1609.08811
924,1511.02296
925,1901.07860
926,2003.13254
927,1709.04005
928,1806.11447
929,1901.09706
930,1511.01942
931,1908.00821
932,1802.01288
933,1909.01285
934,1511.02071
935,1908.04529
936,2002.08932
